date, data
23/7/2010,19.8
24/07/2010,41.4
28/07/2010,5.4
29/07/2010,5.8
30/07/2010,60.4
31/07/2010,52.2
01/08/2010,84.2
02/08/2010,84.2
06/08/2010,0.0
07/08/2010,1.5
08/08/2010,31.8
09/08/2010,0.1
10/08/2010,18.3
11/08/2010,0.0
12/08/2010,20.3
13/08/2010,11.4
14/08/2010,28.4
15/08/2010,0.0
16/08/2010,0.6
17/08/2010,15.8
18/08/2010,174.0
20/08/2010,24.5
21/08/2010,63.3
22/08/2010,0.4
23/08/2010,4.1
24/08/2010,2.6
25/08/2010,0.3
27/08/2010,9.4
28/08/2010,1.2
29/08/2010,21.9
30/08/2010,69.3
31/08/2010,113.2
01/09/2010,116.8
02/09/2010,2.0
03/09/2010,2.3
04/09/2010,0.8
05/09/2010,1.8
06/09/2010,2.4
07/09/2010,28.4
08/09/2010,12.4
09/09/2010,60.0
10/09/2010,15.7
11/09/2010,0.4
12/09/2010,1.6
13/09/2010,0.0
14/09/2010,2.4
15/09/2010,0.0
16/09/2010,3.8
17/09/2010,7.7
18/09/2010,5.8
19/09/2010,0.0
20/09/2010,7.2
21/09/2010,0.0
22/09/2010,0.0
23/09/2010,0.0
24/09/2010,0.0
25/09/2010,0.0
26/09/2010,0.0
27/09/2010,0.0
28/09/2010,1.0
29/09/2010,0.4
30/09/2010,0.0
01/10/2010,0.0
02/10/2010,0.0
03/10/2010,0.0
04/10/2010,0.0
05/10/2010,1.6
06/10/2010,0.0
07/10/2010,0.0
08/10/2010,0.0
09/10/2010,0.0
12/10/2010,31.3
14/10/2010,0.0
16/10/2010,0.0
17/10/2010,0.0
18/10/2010,0.0
20/10/2010,4.8
21/10/2010,10.2
22/10/2010,57.0
23/10/2010,0.0
24/10/2010,0.0
25/10/2010,0.0
27/10/2010,0.0
28/10/2010,0.0
29/10/2010,0.0
30/10/2010,0.0
31/10/2010,0.0
02/08/2010,84.2
06/08/2010,0.0
07/08/2010,1.5
08/08/2010,31.8
09/08/2010,0.1
10/08/2010,18.3
11/08/2010,1.1
12/08/2010,20.3
13/08/2010,11.4
14/08/2010,28.4
15/08/2010,0.0
16/08/2010,0.6
17/08/2010,15.8
18/08/2010,174.0
19/08/2010,51.0
20/08/2010,24.5
21/08/2010,63.3
22/08/2010,0.4
23/08/2010,4.1
24/08/2010,2.6
25/08/2010,0.3
27/08/2010,9.4
28/08/2010,1.2
29/08/2010,21.9
30/08/2010,69.3
31/08/2010,113.2
01/09/2010,116.8
02/09/2010,2.0
03/09/2010,2.3
04/09/2010,0.8
05/09/2010,1.8
06/09/2010,2.4
07/09/2010,28.4
08/09/2010,12.4
09/09/2010,60.0
10/09/2010,15.7
11/09/2010,0.4
12/09/2010,1.6
13/09/2010,0.0
14/09/2010,2.4
15/09/2010,0.0
16/09/2010,3.8
17/09/2010,7.7
18/09/2010,5.8
19/09/2010,0.0
20/09/2010,7.2
21/09/2010,0.0
22/09/2010,0.0
23/09/2010,0.0
24/09/2010,0.0
25/09/2010,0.0
26/09/2010,0.0
27/09/2010,0.0
28/09/2010,1.0
29/09/2010,0.4
30/09/2010,0.0
01/10/2010,0.0
02/10/2010,0.0
03/10/2010,0.0
04/10/2010,0.0
05/10/2010,1.6
06/10/2010,0.0
07/10/2010,0.0
08/10/2010,0.0
09/10/2010,0.0
12/10/2010,31.3
14/10/2010,0.0
16/10/2010,0.0
17/10/2010,0.0
18/10/2010,0.0
20/10/2010,4.8
21/10/2010,10.2
22/10/2010,57.0
23/10/2010,0.0
24/10/2010,0.0
25/10/2010,0.0
27/10/2010,0.0
28/10/2010,0.0
29/10/2010,0.0
30/10/2010,0.0
31/10/2010,0.0
